bed,aimedat,average,,min 50 darts at double
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
d2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
o2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
m2,d2,97.18,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
d2,d2,92.8,,
