bed,aimedat,average,,min 100 darts at double
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
d10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
o10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
m10,d10,87.1,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
d10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
o10,d10,91.16,,
