bed,aimedat,average,,min 20 darts at double
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
d3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
m3,d3,93.28,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
d3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
o3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
m3,d3,97.66,,
d3,d3,95.94,,
d3,d3,95.94,,
d3,d3,95.94,,
d3,d3,95.94,,
d3,d3,95.94,,
d3,d3,95.94,,
d3,d3,95.94,,
d3,d3,95.94,,
d3,d3,95.94,,
d3,d3,95.94,,
d3,d3,95.94,,
o3,d3,95.94,,
m3,d3,95.94,,
m3,d3,95.94,,
m3,d3,95.94,,
m3,d3,95.94,,
m3,d3,95.94,,
m3,d3,95.94,,
m3,d3,95.94,,
m3,d3,95.94,,
m3,d3,95.94,,
m3,d3,95.94,,
d3,d3,92.83,,
d3,d3,92.83,,
d3,d3,92.83,,
d3,d3,92.83,,
d3,d3,92.83,,
d3,d3,92.83,,
d3,d3,92.83,,
d3,d3,92.83,,
d3,d3,92.83,,
d3,d3,92.83,,
m3,d3,92.83,,
m3,d3,92.83,,
m3,d3,92.83,,
m3,d3,92.83,,
m3,d3,92.83,,
m3,d3,92.83,,
m3,d3,92.83,,
m3,d3,92.83,,
m3,d3,92.83,,
m3,d3,92.83,,
d3,d3,90.67,,
d3,d3,90.67,,
d3,d3,90.67,,
d3,d3,90.67,,
d3,d3,90.67,,
d3,d3,90.67,,
d3,d3,90.67,,
d3,d3,90.67,,
d3,d3,90.67,,
d3,d3,90.67,,
o3,d3,90.67,,
o3,d3,90.67,,
o3,d3,90.67,,
o3,d3,90.67,,
o3,d3,90.67,,
m3,d3,90.67,,
m3,d3,90.67,,
m3,d3,90.67,,
m3,d3,90.67,,
m3,d3,90.67,,
d3,d3,94.25,,
d3,d3,94.25,,
d3,d3,94.25,,
d3,d3,94.25,,
d3,d3,94.25,,
d3,d3,94.25,,
d3,d3,94.25,,
d3,d3,94.25,,
d3,d3,94.25,,
d3,d3,94.25,,
d3,d3,94.25,,
o3,d3,94.25,,
o3,d3,94.25,,
o3,d3,94.25,,
o3,d3,94.25,,
o3,d3,94.25,,
m3,d3,94.25,,
m3,d3,94.25,,
m3,d3,94.25,,
m3,d3,94.25,,
m3,d3,94.25,,
