bed,aimedat,average,,min 20 darts at double
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
d1,d1,97.18,,
o1,d1,97.18,,
m1,d1,97.18,,
m1,d1,97.18,,
m1,d1,97.18,,
m1,d1,97.18,,
m1,d1,97.18,,
m1,d1,97.18,,
m1,d1,97.18,,
m1,d1,97.18,,
m1,d1,97.18,,
m1,d1,97.18,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
d1,d1,94.76,,
o1,d1,94.76,,
o1,d1,94.76,,
m1,d1,94.76,,
m1,d1,94.76,,
m1,d1,94.76,,
m1,d1,94.76,,
m1,d1,94.76,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
d1,d1,93.43,,
m1,d1,93.43,,
m1,d1,93.43,,
m1,d1,93.43,,
m1,d1,93.43,,
m1,d1,93.43,,
m1,d1,93.43,,
m1,d1,93.43,,
m1,d1,93.43,,
m1,d1,93.43,,
m1,d1,93.43,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
d1,d1,91.29,,
m1,d1,91.29,,
m1,d1,91.29,,
m1,d1,91.29,,
m1,d1,91.29,,
m1,d1,91.29,,
m1,d1,91.29,,
m1,d1,91.29,,
m1,d1,91.29,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
d1,d1,92.82,,
o1,d1,92.82,,
o1,d1,92.82,,
o1,d1,92.82,,
o1,d1,92.82,,
o1,d1,92.82,,
o1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
m1,d1,92.82,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
d1,d1,92.19,,
