bed,aimedat,average,,min 100 darts at double
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
d12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
o12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
m12,d12,94.25,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
d12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
o12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
m12,d12,94.42,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
d12,d12,98.64,,
