bed,aimedat,average,,min 20 darts at double
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
d15,d15,98.58,,
m15,d15,98.58,,
m15,d15,98.58,,
m15,d15,98.58,,
m15,d15,98.58,,
m15,d15,98.58,,
d2,d15,98.58,,
o2,d15,98.58,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
d15,d15,92.9,,
m15,d15,92.9,,
m15,d15,92.9,,
m15,d15,92.9,,
m15,d15,92.9,,
m15,d15,92.9,,
m15,d15,92.9,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
d15,d15,95.19,,
o15,d15,95.19,,
o15,d15,95.19,,
o15,d15,95.19,,
o15,d15,95.19,,
o15,d15,95.19,,
m15,d15,95.19,,
m15,d15,95.19,,
m15,d15,95.19,,
m15,d15,95.19,,
m15,d15,95.19,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
d15,d15,97.66,,
o15,d15,97.66,,
o15,d15,97.66,,
o15,d15,97.66,,
o15,d15,97.66,,
o15,d15,97.66,,
m15,d15,97.66,,
m15,d15,97.66,,
m15,d15,97.66,,
m15,d15,97.66,,
m15,d15,97.66,,
m15,d15,97.66,,
m15,d15,97.66,,
m15,d15,97.66,,
m15,d15,97.66,,
m15,d15,97.66,,
d15,d15,97.03,,
d15,d15,97.03,,
d15,d15,97.03,,
d15,d15,97.03,,
d15,d15,97.03,,
d15,d15,97.03,,
d15,d15,97.03,,
d15,d15,97.03,,
d15,d15,97.03,,
d15,d15,97.03,,
o15,d15,97.03,,
o15,d15,97.03,,
o15,d15,97.03,,
o15,d15,97.03,,
o15,d15,97.03,,
o15,d15,97.03,,
o15,d15,97.03,,
o15,d15,97.03,,
o15,d15,97.03,,
o15,d15,97.03,,
d15,d15,91.48,,
d15,d15,91.48,,
d15,d15,91.48,,
d15,d15,91.48,,
d15,d15,91.48,,
d15,d15,91.48,,
d15,d15,91.48,,
d15,d15,91.48,,
d15,d15,91.48,,
d15,d15,91.48,,
m15,d15,91.48,,
m15,d15,91.48,,
m15,d15,91.48,,
m15,d15,91.48,,
m15,d15,91.48,,
m15,d15,91.48,,
m15,d15,91.48,,
m15,d15,91.48,,
m15,d15,91.48,,
m15,d15,91.48,,
d15,d15,90.52,,
d15,d15,90.52,,
d15,d15,90.52,,
d15,d15,90.52,,
d15,d15,90.52,,
d15,d15,90.52,,
d15,d15,90.52,,
d15,d15,90.52,,
d15,d15,90.52,,
d15,d15,90.52,,
m15,d15,90.52,,
m15,d15,90.52,,
m15,d15,90.52,,
m15,d15,90.52,,
m15,d15,90.52,,
m15,d15,90.52,,
m15,d15,90.52,,
m15,d15,90.52,,
m15,d15,90.52,,
m15,d15,90.52,,
d15,d15,95.7,,
d15,d15,95.7,,
d15,d15,95.7,,
d15,d15,95.7,,
d15,d15,95.7,,
d15,d15,95.7,,
d15,d15,95.7,,
d15,d15,95.7,,
d15,d15,95.7,,
d15,d15,95.7,,
m15,d15,95.7,,
m15,d15,95.7,,
m15,d15,95.7,,
m15,d15,95.7,,
m15,d15,95.7,,
m15,d15,95.7,,
m15,d15,95.7,,
m15,d15,95.7,,
m15,d15,95.7,,
m15,d15,95.7,,
d15,d15,92.52,,
d15,d15,92.52,,
d15,d15,92.52,,
d15,d15,92.52,,
d15,d15,92.52,,
d15,d15,92.52,,
d15,d15,92.52,,
d15,d15,92.52,,
d15,d15,92.52,,
d15,d15,92.52,,
o15,d15,92.52,,
o15,d15,92.52,,
m15,d15,92.52,,
m15,d15,92.52,,
m15,d15,92.52,,
m15,d15,92.52,,
m15,d15,92.52,,
m15,d15,92.52,,
m15,d15,92.52,,
m15,d15,92.52,,
m15,d15,92.52,,
m15,d15,92.52,,
d15,d15,94.25,,
d15,d15,94.25,,
d15,d15,94.25,,
d15,d15,94.25,,
d15,d15,94.25,,
d15,d15,94.25,,
d15,d15,94.25,,
d15,d15,94.25,,
d15,d15,94.25,,
d15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
m15,d15,94.25,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
d15,d15,96.11,,
o15,d15,96.11,,
o15,d15,96.11,,
o15,d15,96.11,,
o15,d15,96.11,,
o15,d15,96.11,,
o15,d15,96.11,,
