bed,aimedat,average,,min 20 darts at double
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
d13,d13,97.66,,
o13,d13,97.66,,
o13,d13,97.66,,
o13,d13,97.66,,
o13,d13,97.66,,
o13,d13,97.66,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
d13,d13,91.25,,
m13,d13,91.25,,
m13,d13,91.25,,
m13,d13,91.25,,
m13,d13,91.25,,
m13,d13,91.25,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
d13,d13,89.71,,
m13,d13,89.71,,
m13,d13,89.71,,
m13,d13,89.71,,
m13,d13,89.71,,
m13,d13,89.71,,
o6,d13,89.71,,
o6,d13,89.71,,
o6,d13,89.71,,
d4,d13,89.71,,
o4,d13,89.71,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
d13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
o13,d13,94.76,,
m13,d13,94.76,,
m13,d13,94.76,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
d13,d13,95.69,,
o13,d13,95.69,,
o13,d13,95.69,,
o13,d13,95.69,,
o13,d13,95.69,,
o13,d13,95.69,,
m13,d13,95.69,,
m13,d13,95.69,,
m13,d13,95.69,,
m13,d13,95.69,,
m13,d13,95.69,,
m13,d13,95.69,,
m13,d13,95.69,,
m13,d13,95.69,,
m13,d13,95.69,,
m13,d13,95.69,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
d13,d13,96.11,,
o13,d13,96.11,,
o13,d13,96.11,,
o13,d13,96.11,,
o13,d13,96.11,,
o13,d13,96.11,,
m13,d13,96.11,,
m13,d13,96.11,,
m13,d13,96.11,,
m13,d13,96.11,,
m13,d13,96.11,,
m13,d13,96.11,,
m13,d13,96.11,,
m13,d13,96.11,,
m13,d13,96.11,,
m13,d13,96.11,,
d13,d13,95.72,,
d13,d13,95.72,,
d13,d13,95.72,,
d13,d13,95.72,,
d13,d13,95.72,,
d13,d13,95.72,,
d13,d13,95.72,,
d13,d13,95.72,,
d13,d13,95.72,,
d13,d13,95.72,,
o13,d13,95.72,,
o13,d13,95.72,,
o13,d13,95.72,,
o13,d13,95.72,,
o13,d13,95.72,,
o13,d13,95.72,,
o13,d13,95.72,,
o13,d13,95.72,,
o13,d13,95.72,,
o13,d13,95.72,,
d13,d13,94.25,,
d13,d13,94.25,,
d13,d13,94.25,,
d13,d13,94.25,,
d13,d13,94.25,,
d13,d13,94.25,,
d13,d13,94.25,,
d13,d13,94.25,,
d13,d13,94.25,,
d13,d13,94.25,,
o13,d13,94.25,,
o13,d13,94.25,,
o13,d13,94.25,,
o13,d13,94.25,,
o13,d13,94.25,,
m13,d13,94.25,,
m13,d13,94.25,,
m13,d13,94.25,,
m13,d13,94.25,,
m13,d13,94.25,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
d13,d13,98.64,,
o13,d13,98.64,,
o13,d13,98.64,,
o13,d13,98.64,,
o13,d13,98.64,,
o13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
m13,d13,98.64,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
d13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
o13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
m13,d13,94.2,,
d13,d13,94.42,,
d13,d13,94.42,,
d13,d13,94.42,,
d13,d13,94.42,,
d13,d13,94.42,,
d13,d13,94.42,,
d13,d13,94.42,,
d13,d13,94.42,,
d13,d13,94.42,,
o13,d13,94.42,,
o13,d13,94.42,,
o13,d13,94.42,,
o13,d13,94.42,,
o13,d13,94.42,,
o13,d13,94.42,,
o13,d13,94.42,,
o13,d13,94.42,,
o13,d13,94.42,,
m13,d13,94.42,,
m13,d13,94.42,,
m13,d13,94.42,,
m13,d13,94.42,,
d13,d13,91.29,,
d13,d13,91.29,,
d13,d13,91.29,,
d13,d13,91.29,,
d13,d13,91.29,,
d13,d13,91.29,,
d13,d13,91.29,,
d13,d13,91.29,,
d13,d13,91.29,,
d13,d13,91.29,,
m13,d13,91.29,,
m13,d13,91.29,,
m13,d13,91.29,,
m13,d13,91.29,,
m13,d13,91.29,,
m13,d13,91.29,,
