bed,aimedat,average,,min 100 darts at double
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
d16,d16,90.67,,
o16,d16,90.67,,
o16,d16,90.67,,
o16,d16,90.67,,
o16,d16,90.67,,
o16,d16,90.67,,
o16,d16,90.67,,
o16,d16,90.67,,
o16,d16,90.67,,
