bed,aimedat,average,,min 50 darts at double
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
d9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
o9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
m9,d9,95.32,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
d9,d9,95.7,,
