bed,aimedat,average,,,min 50 darts at double
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
d6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
o6,d6,95.59,,,
m6,d6,95.59,,,
m6,d6,95.59,,,
