bed,aimedat,average,,min 20 darts at double
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
d19,d19,100.26,,
o19,d19,100.26,,
o19,d19,100.26,,
o19,d19,100.26,,
o19,d19,100.26,,
o19,d19,100.26,,
m19,d19,100.26,,
m19,d19,100.26,,
m19,d19,100.26,,
m19,d19,100.26,,
m19,d19,100.26,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
d19,d19,90.41,,
m19,d19,90.41,,
m19,d19,90.41,,
m19,d19,90.41,,
m19,d19,90.41,,
m19,d19,90.41,,
m19,d19,90.41,,
m19,d19,90.41,,
m19,d19,90.41,,
m19,d19,90.41,,
m19,d19,90.41,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
d19,d19,92.19,,
o19,d19,92.19,,
o19,d19,92.19,,
o19,d19,92.19,,
o19,d19,92.19,,
o19,d19,92.19,,
o19,d19,92.19,,
o19,d19,92.19,,
o19,d19,92.19,,
m19,d19,92.19,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
d19,d19,89.94,,
m19,d19,89.94,,
m19,d19,89.94,,
m19,d19,89.94,,
m19,d19,89.94,,
m19,d19,89.94,,
m19,d19,89.94,,
m19,d19,89.94,,
m19,d19,89.94,,
m19,d19,89.94,,
m19,d19,89.94,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
d19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
o19,d19,97.18,,
m19,d19,97.18,,
m19,d19,97.18,,
m19,d19,97.18,,
m19,d19,97.18,,
m19,d19,97.18,,
m19,d19,97.18,,
m19,d19,97.18,,
m19,d19,97.18,,
m19,d19,97.18,,
m19,d19,97.18,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
d19,d19,96.55,,
o19,d19,96.55,,
o19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
m19,d19,96.55,,
d19,d19,95.7,,
d19,d19,95.7,,
d19,d19,95.7,,
d19,d19,95.7,,
d19,d19,95.7,,
d19,d19,95.7,,
d19,d19,95.7,,
d19,d19,95.7,,
d19,d19,95.7,,
d19,d19,95.7,,
o19,d19,95.7,,
o19,d19,95.7,,
o19,d19,95.7,,
o19,d19,95.7,,
o19,d19,95.7,,
m19,d19,95.7,,
m19,d19,95.7,,
m19,d19,95.7,,
m19,d19,95.7,,
m19,d19,95.7,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
d19,d19,94.2,,
