bed,aimedat,average,,min 50 darts at double
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
d4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
o4,d4,89.61,,
m4,d4,89.61,,
m4,d4,89.61,,
m4,d4,89.61,,
m4,d4,89.61,,
m4,d4,89.61,,
m4,d4,89.61,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
d4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
o4,d4,90.94,,
m4,d4,90.94,,
m4,d4,90.94,,
m4,d4,90.94,,
m4,d4,90.94,,
m4,d4,90.94,,
m4,d4,90.94,,
m4,d4,90.94,,
m4,d4,90.94,,
m4,d4,90.94,,
m4,d4,90.94,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
d4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
o4,d4,92.95,,
m4,d4,92.95,,
