bin,double,hit_double,miss_inside,miss_outside,neighbor_singledouble,other,samples
70-79,d17,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d18,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d19,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d20,0.31666666666666665,0.23333333333333334,0.33666666666666667,0.0,0.11333333333333329,0
70-79,ibull,0.21875,0.4375,0.02,0.34375,0.0,0
80-89,d1,0.05714285714285714,0.2857142857142857,0.2771428571428572,0.0,0.3799999999999999,0
80-89,d2,0.03125,0.125,0.5825,0.0,0.26125,3
80-89,d3,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,0
80-89,d4,0.15,0.15,0.47000000000000003,0.0,0.22999999999999998,7
80-89,d5,0.125,0.1875,0.5825,0.0,0.10499999999999998,1
80-89,d6,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,3
80-89,d7,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,0
80-89,d8,0.2222222222222222,0.2777777777777778,0.35333333333333333,0.0,0.14666666666666672,8
80-89,d9,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,0
80-89,d10,0.17391304347826086,0.21739130434782608,0.4982608695652174,0.0,0.11043478260869566,8
80-89,d11,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,1
80-89,d12,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,2
80-89,d13,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,0
80-89,d14,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,1
80-89,d15,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,0
80-89,d16,0.3333333333333333,0.4166666666666667,0.27,0.0,0.0,7
80-89,d17,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,0
80-89,d18,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,3
80-89,d19,0.4218105586303,0.1927298137899,0.02,0.0,0.3654596275798,0
80-89,d20,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,0.0,22
80-89,ibull,0.21875,0.4375,0.02,0.34375,0.0,7
90-99,d1,0.05714285714285714,0.2857142857142857,0.2771428571428572,0.0,0.3799999999999999,0
90-99,d2,0.03125,0.125,0.5825,0.0,0.26125,0
90-99,d3,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d4,0.15,0.15,0.47000000000000003,0.0,0.22999999999999998,0
90-99,d5,0.125,0.1875,0.5825,0.0,0.10499999999999998,1
90-99,d6,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d7,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d8,0.2222222222222222,0.2777777777777778,0.35333333333333333,0.0,0.14666666666666672,0
90-99,d9,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,1
90-99,d10,0.17391304347826086,0.21739130434782608,0.4982608695652174,0.0,0.11043478260869566,1
90-99,d11,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d12,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,2
90-99,d13,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d14,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d15,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d16,0.3333333333333333,0.4166666666666667,0.27,0.0,0.0,2
90-99,d17,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d18,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d19,0.44821756544277225,0.18392747818574257,0.02,0.0,0.3478549563714852,0
90-99,d20,0.5833333333333334,0.16666666666666666,0.25,0.0,0.0,12
90-99,ibull,0.2,0.5,0.0,0.3,0.0,10
100-109,d1,0.05714285714285714,0.2857142857142857,0.2771428571428572,0.0,0.3799999999999999,0
100-109,d2,0.03125,0.125,0.5825,0.0,0.26125,0
100-109,d3,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,0
100-109,d4,0.15,0.15,0.47000000000000003,0.0,0.22999999999999998,0
100-109,d5,0.125,0.1875,0.5825,0.0,0.10499999999999998,2
100-109,d6,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,0
100-109,d7,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,0
100-109,d8,0.2222222222222222,0.2777777777777778,0.35333333333333333,0.0,0.14666666666666672,4
100-109,d9,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,1
100-109,d10,0.17391304347826086,0.21739130434782608,0.4982608695652174,0.0,0.11043478260869566,2
100-109,d11,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,0
100-109,d12,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,0
100-109,d13,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,2
100-109,d14,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,0
100-109,d15,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,0
100-109,d16,0.3333333333333333,0.4166666666666667,0.27,0.0,0.0,3
100-109,d17,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,0
100-109,d18,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,2
100-109,d19,0.4746245722552445,0.17512514258158518,0.02,0.0,0.33025028516317034,1
100-109,d20,0.31666666666666665,0.23333333333333334,0.33666666666666667,0.0,0.11333333333333329,6
100-109,ibull,0.21875,0.4375,0.02,0.34375,0.0,8
110+,d1,0.05714285714285714,0.2857142857142857,0.2771428571428572,0.0,0.3799999999999999,0
110+,d2,0.03125,0.125,0.5825,0.0,0.26125,0
110+,d3,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d4,0.15,0.15,0.47000000000000003,0.0,0.22999999999999998,0
110+,d5,0.125,0.1875,0.5825,0.0,0.10499999999999998,0
110+,d6,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d7,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d8,0.2222222222222222,0.2777777777777778,0.35333333333333333,0.0,0.14666666666666672,0
110+,d9,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d10,0.17391304347826086,0.21739130434782608,0.4982608695652174,0.0,0.11043478260869566,0
110+,d11,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d12,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d13,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d14,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d15,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d16,0.3333333333333333,0.4166666666666667,0.27,0.0,0.0,0
110+,d17,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d18,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d19,0.5023519294083404,0.16588269019721988,0.02,0.0,0.3117653803944397,0
110+,d20,0.31666666666666665,0.23333333333333334,0.33666666666666667,0.0,0.11333333333333329,0
110+,ibull,0.21875,0.4375,0.02,0.34375,0.0,0
